0.51099891	(0.27832320817295314, 0.0511205892562567, 0.05112058925625672)	2	3
120.55196063535645	(3.1554436208840472e-30, 3.1554436208840472e-30, 7.355324213954688)	84	1
27.934417673258075	(5.872291838101647, 0.24304147697201453, 0.7311228104566521)	228	3
4.421456003044957	(5.339984914733375, 0.7754047888243897, 11.106856555908353)	57	3
21.603672149397873	(4.682804991920723, 2.144010161613275, 1.7387492565669567)	137	1
0.4944671498979923	(0.40479957371276193, 0.40479957371276193, 0.23692189758251422)	3	3
0.12473547275353436	(1.3330382797475282, 3.7276836114530467, 0.9494075287585568)	3	3
0.1684663289911441	(9.319142820182636, 3.3402655507808943, 0.7831778430819216)	2	3
3.5176687111012854	(4.484233024681079, 9.58147608563828, 0.7676547246930635)	43	3
0.6604962179060248	(3.3919162570159043, 6.939380555927845, 1.868909627304951)	9	3
0.02231911470880732	(2153.4950736993305, 47.41377933611266, 919.6238661683043)	1	3
0.037204409192781895	(1581.0373908825225, 1470.0149782189974, 146.42367153495886)	1	3
0.124921457907476	(58.14819222330575, 58.14819222330575, 316.58460210466467)	2	3
19.162075157239812	(0.29789768486872115, 0.05592364351454532, 0.07209148887880747)	8	0
0.042430722765857354	(2.1994839411990017, 0.24438710457766685, 0.9775484183106674)	2	3
1.3281082791055208	(99.9539624724349, 16.679742594814446, 19.94243657940081)	17	3
2.9000910328350247	(9.62881586305173, 14.473501649231105, 10.49462301277119)	9	3
1.8921581829017668	(6.373825355326561, 5.932584104241175, 15.528168289277795)	2	3
1.23333182856453	(9.742919095070652, 5.07707881681556, 3.476858660066883)	10	3
0.12320622361585265	(23.042319253334348, 14.277155423169319, 10.997958220787364)	1	3
59.845393532939326	(3.175758147847791, 4.317293065010384, 3.851974583637272)	78	3
4.073138310359201	(4.23935537516376, 10.983967452425063, 0.24648676300320638)	26	3
0.06705994065669074	(2.231674316842822, 0.293934928568862, 3.484794518988286)	2	3
2.0807077608253035	(4.902817521073572, 2.3600434131911183, 5.811024533700341)	13	3
202.96683692648588	(0.7363064156167141, 0.597471544546731, 7.695508900587721)	213	1
33.621612631787876	(1.3722770238498212, 0.622029776495988, 1.05738965482937)	77	0
0.2763954004757479	(9.430816264710067, 6.846263971555174, 0.2330297920836236)	9	3
2.3855348126004223	(2.076671692662867, 0.0925360274872969, 0.14441718419703814)	61	3
1.0186220918092794	(84.75813586449128, 71.46660778094783, 49.988937563319276)	3	3
5.983597027987939	(2.4728595802010043, 0.5438193312873301, 1.2451183026593997)	46	3
1.799055149108568	(1.2566846686316868, 0.2513409390453295, 0.13564993257686578)	9	3
